Date (DD/MM/YYYY),NAV
31/05/2011,10.4577
01/06/2011,10.6299
02/06/2011,10.6939
03/06/2011,10.6304
06/06/2011,10.5685
07/06/2011,10.5964
08/06/2011,10.6401
09/06/2011,10.5888
10/06/2011,10.5767
13/06/2011,10.5257
14/06/2011,10.5199
15/06/2011,10.5526
16/06/2011,10.4523
17/06/2011,10.3588
20/06/2011,10.2995
21/06/2011,10.0969
22/06/2011,10.1295
23/06/2011,10.1295
24/06/2011,10.2202
27/06/2011,10.5030
28/06/2011,10.6064
29/06/2011,10.6417
30/06/2011,10.7496
04/07/2011,10.8016
05/07/2011,10.8488
06/07/2011,10.8130
07/07/2011,10.7998
08/07/2011,10.9934
11/07/2011,10.8684
12/07/2011,10.7829
13/07/2011,10.6183
14/07/2011,10.7266
15/07/2011,10.7569
18/07/2011,10.7227
19/07/2011,10.6961
20/07/2011,10.7873
21/07/2011,10.6995
22/07/2011,10.6523
25/07/2011,10.8260
26/07/2011,10.9124
27/07/2011,10.7154
28/07/2011,10.6618
29/07/2011,10.5509
01/08/2011,10.5399
02/08/2011,10.6032
03/08/2011,10.4908
04/08/2011,10.3935
05/08/2011,10.2547
08/08/2011,10.0261
09/08/2011,9.8572
10/08/2011,9.7796
11/08/2011,9.9401
12/08/2011,9.8966
16/08/2011,9.7728
17/08/2011,9.7031
18/08/2011,9.7486
22/08/2011,9.3526
23/08/2011,9.4459
24/08/2011,9.5344
25/08/2011,9.4212
26/08/2011,9.3302
29/08/2011,9.1575
30/08/2011,9.4774
02/09/2011,9.6303
05/09/2011,9.7042
06/09/2011,9.6608
07/09/2011,9.7516
08/09/2011,9.8667
09/09/2011,9.9185
12/09/2011,9.7476
13/09/2011,9.5338
14/09/2011,9.5239
15/09/2011,9.6599
16/09/2011,9.7809
19/09/2011,9.7961
20/09/2011,9.6972
21/09/2011,9.9023
22/09/2011,9.8883
23/09/2011,9.4886
26/09/2011,9.3830
27/09/2011,9.3209
28/09/2011,9.5782
29/09/2011,9.5292
30/09/2011,9.5292
01/10/2011,9.5292
02/10/2011,9.5292
03/10/2011,9.5225
04/10/2011,9.3436
05/10/2011,9.1993
07/10/2011,9.1605
10/10/2011,9.4122
11/10/2011,9.5790
12/10/2011,9.5681
13/10/2011,9.8055
14/10/2011,9.7645
17/10/2011,9.8671
18/10/2011,9.8387
19/10/2011,9.6827
20/10/2011,9.8751
21/10/2011,9.7893
24/10/2011,9.7115
25/10/2011,9.8024
28/10/2011,9.9793
31/10/2011,10.2988
01/11/2011,10.2331
02/11/2011,10.1040
03/11/2011,10.1051
04/11/2011,10.1195
08/11/2011,10.1576
09/11/2011,10.1664
11/11/2011,10.0365
14/11/2011,9.9379
15/11/2011,9.8987
16/11/2011,9.7456
17/11/2011,9.6712
18/11/2011,9.4879
21/11/2011,9.4331
22/11/2011,9.1894
23/11/2011,9.2515
24/11/2011,9.0578
25/11/2011,9.1520
28/11/2011,9.0643
29/11/2011,9.3292
30/11/2011,9.2414
01/12/2011,9.2929
02/12/2011,9.4915
05/12/2011,9.7058
07/12/2011,9.6835
08/12/2011,9.7268
09/12/2011,9.4990
12/12/2011,9.3517
13/12/2011,9.1574
14/12/2011,9.2250
15/12/2011,9.1526
16/12/2011,9.1196
19/12/2011,8.9408
20/12/2011,8.8678
21/12/2011,8.7383
22/12/2011,9.0197
23/12/2011,9.0955
26/12/2011,9.0583
27/12/2011,9.1799
28/12/2011,9.1270
29/12/2011,9.0411
30/12/2011,8.9265
02/01/2012,8.8853
03/01/2012,8.9086
04/01/2012,9.1505
05/01/2012,9.1196
06/01/2012,9.1198
09/01/2012,9.1325
10/01/2012,9.1111
11/01/2012,9.3117
12/01/2012,9.3326
13/01/2012,9.2754
16/01/2012,9.3406
17/01/2012,9.3553
18/01/2012,9.5317
19/01/2012,9.5108
20/01/2012,9.6298
23/01/2012,9.6880
24/01/2012,9.6826
25/01/2012,9.8314
27/01/2012,9.8887
30/01/2012,9.9764
31/01/2012,9.7527
01/02/2012,9.9672
02/02/2012,10.0355
03/02/2012,10.1013
06/02/2012,10.2077
07/02/2012,10.2765
08/02/2012,10.2267
09/02/2012,10.2900
10/02/2012,10.3736
13/02/2012,10.3113
14/02/2012,10.3285
15/02/2012,10.3761
17/02/2012,10.5772
21/02/2012,10.6595
22/02/2012,10.7387
23/02/2012,10.5453
24/02/2012,10.5025
27/02/2012,10.4002
28/02/2012,10.1189
29/02/2012,10.2912
01/03/2012,10.3021
02/03/2012,10.2197
05/03/2012,10.2530
06/03/2012,10.1092
07/03/2012,9.9995
09/03/2012,9.9943
12/03/2012,10.1958
13/03/2012,10.2447
14/03/2012,10.3682
15/03/2012,10.4291
16/03/2012,10.2801
19/03/2012,10.1599
20/03/2012,10.0453
21/03/2012,10.0787
22/03/2012,10.2446
26/03/2012,10.0822
27/03/2012,9.9070
28/03/2012,10.0166
29/03/2012,10.0166
30/03/2012,9.8965
03/04/2012,10.1555
04/04/2012,10.2323
09/04/2012,10.1638
10/04/2012,9.9956
11/04/2012,10.0114
12/04/2012,9.9782
13/04/2012,10.0736
16/04/2012,9.9404
17/04/2012,9.9754
18/04/2012,10.0942
19/04/2012,10.1144
20/04/2012,10.1733
23/04/2012,10.0942
24/04/2012,9.9214
25/04/2012,9.9631
26/04/2012,9.9247
27/04/2012,9.9005
30/04/2012,9.9023
02/05/2012,10.0079
03/05/2012,9.9908
04/05/2012,9.8948
07/05/2012,9.7027
08/05/2012,9.7517
09/05/2012,9.5371
10/05/2012,9.4896
11/05/2012,9.4706
14/05/2012,9.4024
15/05/2012,9.3633
16/05/2012,9.4274
17/05/2012,9.2718
18/05/2012,9.2924
21/05/2012,9.3320
22/05/2012,9.3582
23/05/2012,9.2709
24/05/2012,9.2241
25/05/2012,9.3974
28/05/2012,9.3962
29/05/2012,9.5189
30/05/2012,9.5266
31/05/2012,9.4545
01/06/2012,9.4240
04/06/2012,9.2697
05/06/2012,9.2802
06/06/2012,9.3082
07/06/2012,9.5608
