Date,NAV
29-Oct-16,19.6330
28-Oct-16,19.6287
27-Oct-16,19.6249
26-Oct-16,19.6454
25-Oct-16,19.6410
24-Oct-16,19.6439
23-Oct-16,19.6361
22-Oct-16,19.6319
21-Oct-16,19.6277
20-Oct-16,19.6263
19-Oct-16,19.6173
18-Oct-16,19.6244
17-Oct-16,19.6089
16-Oct-16,19.6369
15-Oct-16,19.6327
14-Oct-16,19.6285
13-Oct-16,19.6836
12-Oct-16,19.7011
11-Oct-16,19.6969
10-Oct-16,19.6926
09-Oct-16,19.6673
08-Oct-16,19.6631
07-Oct-16,19.6588
06-Oct-16,19.6585
05-Oct-16,19.6327
04-Oct-16,19.5912
03-Oct-16,19.5558
02-Oct-16,19.5025
01-Oct-16,19.4983
30-Sep-16,19.4940
29-Sep-16,19.4648
28-Sep-16,19.4900
27-Sep-16,19.4833
26-Sep-16,19.4786
25-Sep-16,19.4571
24-Sep-16,19.4529
23-Sep-16,19.4487
22-Sep-16,19.4184
21-Sep-16,19.4079
20-Sep-16,19.3866
19-Sep-16,19.3804
18-Sep-16,19.4067
17-Sep-16,19.4025
16-Sep-16,19.3983
15-Sep-16,19.3879
14-Sep-16,19.3768
13-Sep-16,19.3654
12-Sep-16,19.3611
11-Sep-16,19.3828
10-Sep-16,19.3786
09-Sep-16,19.3744
08-Sep-16,19.3598
07-Sep-16,19.3439
06-Sep-16,19.3057
05-Sep-16,19.2792
04-Sep-16,19.2750
03-Sep-16,19.2708
02-Sep-16,19.2666
01-Sep-16,19.2686
31-Aug-16,19.2378
30-Aug-16,19.2582
29-Aug-16,19.2316
28-Aug-16,19.2283
27-Aug-16,19.2241
26-Aug-16,19.2199
25-Aug-16,19.1789
24-Aug-16,19.1478
23-Aug-16,19.1640
22-Aug-16,19.1694
21-Aug-16,19.1872
20-Aug-16,19.1830
19-Aug-16,19.1789
18-Aug-16,19.1750
17-Aug-16,19.2252
16-Aug-16,19.2210
15-Aug-16,19.2043
14-Aug-16,19.2001
13-Aug-16,19.1959
12-Aug-16,19.1918
11-Aug-16,19.1782
10-Aug-16,19.1417
09-Aug-16,19.1053
08-Aug-16,19.0605
07-Aug-16,19.0426
06-Aug-16,19.0385
05-Aug-16,19.0343
04-Aug-16,19.0274
03-Aug-16,19.0147
02-Aug-16,19.0540
01-Aug-16,19.0425
31-Jul-16,19.0049
30-Jul-16,19.0008
29-Jul-16,18.9966
28-Jul-16,18.9551
27-Jul-16,18.9096
26-Jul-16,18.8916
25-Jul-16,18.8781
24-Jul-16,18.8675
23-Jul-16,18.8633
22-Jul-16,18.8591
21-Jul-16,18.8670
20-Jul-16,18.8318
19-Jul-16,18.8150
18-Jul-16,18.8042
17-Jul-16,18.7775
16-Jul-16,18.7733
15-Jul-16,18.7692
14-Jul-16,18.7391
13-Jul-16,18.7258
12-Jul-16,18.7127
11-Jul-16,18.6955
10-Jul-16,18.6748
09-Jul-16,18.6706
08-Jul-16,18.6665
07-Jul-16,18.6474
06-Jul-16,18.6071
05-Jul-16,18.6030
04-Jul-16,18.5601
03-Jul-16,18.5781
02-Jul-16,18.5740
01-Jul-16,18.5699
30-Jun-16,18.5569
29-Jun-16,18.5063
28-Jun-16,18.4836
27-Jun-16,18.4914
26-Jun-16,18.4917
25-Jun-16,18.4876
24-Jun-16,18.4835
23-Jun-16,18.4671
22-Jun-16,18.4838
21-Jun-16,18.4807
20-Jun-16,18.4583
19-Jun-16,18.4552
18-Jun-16,18.4511
17-Jun-16,18.4470
16-Jun-16,18.4338
15-Jun-16,18.4604
14-Jun-16,18.4653
13-Jun-16,18.4645
12-Jun-16,18.4726
11-Jun-16,18.4685
10-Jun-16,18.4643
09-Jun-16,18.4602
08-Jun-16,18.4267
07-Jun-16,18.4377
06-Jun-16,18.4372
05-Jun-16,18.4266
