Date (MM/DD/YYYY),NAV
12/28/2011,11.1885
12/29/2011,11.0964
12/30/2011,10.967
1/2/2012,10.9154
1/3/2012,10.9433
1/4/2012,11.2432
1/5/2012,11.2061
1/6/2012,11.2063
1/9/2012,11.222
1/10/2012,11.1945
1/11/2012,11.4437
1/12/2012,11.47
1/13/2012,11.4002
1/16/2012,11.4813
1/17/2012,11.4988
1/18/2012,11.716
1/19/2012,11.6886
1/20/2012,11.8348
1/23/2012,11.9044
1/24/2012,11.8974
1/25/2012,12.0874
1/27/2012,12.1618
1/30/2012,12.2692
1/31/2012,11.9928
2/1/2012,12.2582
2/2/2012,12.3439
2/3/2012,12.4236
2/6/2012,12.5541
2/7/2012,12.6366
2/8/2012,12.5742
2/9/2012,12.6513
2/10/2012,12.7537
2/13/2012,12.6813
2/14/2012,12.7018
2/15/2012,12.762
2/17/2012,13.0115
2/21/2012,13.1098
2/22/2012,13.2076
2/23/2012,12.9686
2/24/2012,12.9159
2/27/2012,12.7882
2/28/2012,12.4384
2/29/2012,12.6587
3/1/2012,12.681
3/2/2012,12.5741
3/5/2012,12.6195
3/6/2012,12.4326
3/7/2012,12.2982
3/9/2012,12.2928
3/12/2012,12.5555
3/13/2012,12.6187
3/14/2012,12.7793
3/15/2012,12.8577
3/16/2012,12.6698
3/19/2012,12.5231
3/20/2012,12.3819
3/21/2012,12.4227
3/22/2012,12.6325
3/26/2012,12.4293
3/27/2012,12.2087
3/28/2012,12.3457
3/29/2012,12.2324
3/30/2012,12.195
4/3/2012,12.519
4/4/2012,12.6105
4/9/2012,12.5279
4/10/2012,12.3187
4/11/2012,12.3393
4/12/2012,12.2995
4/13/2012,12.4158
4/16/2012,12.2536
4/17/2012,12.296
4/18/2012,12.4436
4/19/2012,12.4672
4/20/2012,12.5415
4/23/2012,12.4439
4/24/2012,12.2328
4/25/2012,12.284
4/26/2012,12.2347
4/27/2012,12.2038
4/30/2012,12.2049
5/2/2012,12.3388
5/3/2012,12.3164
5/4/2012,12.1965
5/7/2012,11.9577
5/8/2012,12.0194
5/9/2012,11.7515
5/10/2012,11.692
5/11/2012,11.6701
5/14/2012,11.584
5/15/2012,11.5333
5/16/2012,11.6149
5/17/2012,11.4175
5/18/2012,11.4447
5/21/2012,11.494
5/22/2012,11.5264
5/23/2012,11.4196
5/24/2012,11.3608
5/25/2012,11.5791
5/28/2012,11.5764
5/29/2012,11.727
5/30/2012,11.7369
5/31/2012,11.6448
6/1/2012,11.6071
6/4/2012,11.4134
6/5/2012,11.4275
6/6/2012,11.4621
6/7/2012,11.7733
6/8/2012,11.9022
6/11/2012,11.9463
6/12/2012,11.9301
6/13/2012,12.0743
6/14/2012,12.0867
6/15/2012,11.9382
6/18/2012,12.1348
6/19/2012,11.9587
6/20/2012,12.0511
6/21/2012,12.0898
6/22/2012,12.1932
6/25/2012,12.1607
6/26/2012,12.0867
6/27/2012,12.1009
6/28/2012,12.1493
6/29/2012,12.1768
7/2/2012,12.4816
7/3/2012,12.4794
7/4/2012,12.5009
7/5/2012,12.5382
7/6/2012,12.6003
7/9/2012,12.5756
7/10/2012,12.4768
7/11/2012,12.6402
7/12/2012,12.5479
7/13/2012,12.3848
7/16/2012,12.3665
7/17/2012,12.3008
7/18/2012,12.29
7/19/2012,12.3498
7/20/2012,12.411
7/23/2012,12.3222
7/24/2012,12.12
7/25/2012,12.1455
7/26/2012,12.101
7/27/2012,11.9456
7/30/2012,12.0784
7/31/2012,12.3116
8/1/2012,12.3797
8/2/2012,12.4079
8/3/2012,12.3776
8/6/2012,12.3487
8/7/2012,12.5041
8/8/2012,12.6342
8/9/2012,12.6366
8/10/2012,12.6011
8/13/2012,12.6011
8/14/2012,12.6577
8/16/2012,12.7425
8/17/2012,12.703
8/21/2012,12.71
8/24/2012,12.8228
8/27/2012,12.7553
8/28/2012,12.6749
8/29/2012,12.6378
8/30/2012,12.5263
8/31/2012,12.5898
9/3/2012,12.4586
9/4/2012,12.446
9/5/2012,12.4935
9/6/2012,12.3794
9/7/2012,12.4118
9/10/2012,12.6558
9/11/2012,12.7045
9/12/2012,12.7662
9/13/2012,12.8623
9/14/2012,12.872
9/17/2012,13.2102
9/18/2012,13.2856
9/20/2012,13.2622
9/21/2012,13.1533
9/24/2012,13.4739
9/25/2012,13.4222
9/26/2012,13.4316
9/27/2012,13.4058
9/28/2012,13.3724
10/1/2012,13.4969
10/3/2012,13.5317
10/4/2012,13.5606
10/5/2012,13.6936
10/8/2012,13.5972
10/9/2012,13.429
10/10/2012,13.4951
10/11/2012,13.3718
10/12/2012,13.5059
10/15/2012,13.429
10/16/2012,13.4552
10/17/2012,13.3618
10/18/2012,13.3902
10/19/2012,13.5327
10/23/2012,13.5277
10/25/2012,13.4669
10/29/2012,13.4014
10/30/2012,13.4035
10/31/2012,13.2972
11/1/2012,13.2972
11/2/2012,13.2972
11/5/2012,13.2972
11/6/2012,13.2972
