Date (MM/DD/YYYY),NAV
12/03/2018,10.9128
11/30/2018,10.9082
11/29/2018,10.9012
11/28/2018,10.8567
11/27/2018,10.8033
11/26/2018,10.8058
11/22/2018,10.7978
11/20/2018,10.7639
11/19/2018,10.7558
11/16/2018,10.7439
11/15/2018,10.7657
11/14/2018,10.7691
11/13/2018,10.7313
11/12/2018,10.7093
11/09/2018,10.7176
11/06/2018,10.6911
11/05/2018,10.6803
11/02/2018,10.6847
11/01/2018,10.6314
10/31/2018,10.608
10/30/2018,10.6067
10/29/2018,10.6055
10/26/2018,10.5576
10/25/2018,10.5591
10/24/2018,10.5572
10/23/2018,10.5362
10/22/2018,10.5247
10/19/2018,10.5123
10/17/2018,10.5039
10/16/2018,10.5113
10/15/2018,10.4832
10/12/2018,10.4595
10/11/2018,10.4495
10/10/2018,10.4326
10/09/2018,10.4018
10/08/2018,10.4561
10/05/2018,10.4242
10/04/2018,10.3602
10/03/2018,10.393
10/01/2018,10.4412
09/28/2018,10.4086
09/27/2018,10.4057
09/25/2018,10.3607
09/24/2018,10.3646
09/21/2018,10.36
09/19/2018,10.3522
09/18/2018,10.3293
09/17/2018,10.3286
09/14/2018,10.3131
09/12/2018,10.2918
09/11/2018,10.2775
09/10/2018,10.2815
09/07/2018,10.3261
09/06/2018,10.3059
09/05/2018,10.3122
09/04/2018,10.3229
09/03/2018,10.3598
08/31/2018,10.3728
08/29/2018,10.3955
08/28/2018,10.3957
08/27/2018,10.3999
08/24/2018,10.3982
08/23/2018,10.4094
08/21/2018,10.4287
08/20/2018,10.423
08/16/2018,10.4009
08/14/2018,10.4301
08/13/2018,10.4212
08/10/2018,10.4407
08/09/2018,10.4415
08/08/2018,10.4263
08/07/2018,10.4175
08/06/2018,10.421
08/03/2018,10.412
08/02/2018,10.4248
08/01/2018,10.4222
07/31/2018,10.3925
07/30/2018,10.3854
07/27/2018,10.3785
07/26/2018,10.3814
07/25/2018,10.3724
07/24/2018,10.3701
07/23/2018,10.3668
07/20/2018,10.3781
07/19/2018,10.3831
07/18/2018,10.3884
07/17/2018,10.3816
07/16/2018,10.3397
07/13/2018,10.3368
07/12/2018,10.3388
07/11/2018,10.3
07/10/2018,10.2909
07/09/2018,10.2905
07/06/2018,10.2902
07/05/2018,10.2866
07/04/2018,10.2878
