Date (DD-MM-YYYY),NAV
27-11-2018,16.4047
26-11-2018,16.3911
22-11-2018,16.3644
20-11-2018,16.3430
19-11-2018,16.3382
16-11-2018,16.3287
15-11-2018,16.3296
14-11-2018,16.3071
13-11-2018,16.3085
12-11-2018,16.2962
09-11-2018,16.2840
06-11-2018,16.2656
05-11-2018,16.2644
02-11-2018,16.2559
01-11-2018,16.2272
31-10-2018,16.2130
30-10-2018,16.2203
29-10-2018,16.2133
26-10-2018,16.1829
25-10-2018,16.1879
24-10-2018,16.1843
23-10-2018,16.1739
22-10-2018,16.1593
19-10-2018,16.1485
17-10-2018,16.1428
16-10-2018,16.1330
15-10-2018,16.1315
12-10-2018,16.1096
11-10-2018,16.0905
10-10-2018,16.0749
09-10-2018,16.0503
08-10-2018,16.0749
05-10-2018,16.0589
04-10-2018,16.0000
03-10-2018,16.0548
01-10-2018,16.0682
28-09-2018,16.0330
27-09-2018,16.0088
26-09-2018,15.9782
25-09-2018,15.9528
24-09-2018,15.9820
21-09-2018,16.0267
19-09-2018,16.0109
18-09-2018,16.0197
17-09-2018,16.0146
14-09-2018,16.0096
12-09-2018,15.9864
11-09-2018,15.9970
10-09-2018,16.0008
07-09-2018,16.0638
06-09-2018,16.0621
05-09-2018,16.0527
04-09-2018,16.1007
03-09-2018,16.1385
31-08-2018,16.1421
30-08-2018,16.1350
29-08-2018,16.1514
28-08-2018,16.1360
27-08-2018,16.1389
24-08-2018,16.1434
23-08-2018,16.1363
21-08-2018,16.1352
20-08-2018,16.1397
16-08-2018,16.1121
14-08-2018,16.1198
13-08-2018,16.1379
10-08-2018,16.1396
09-08-2018,16.1130
08-08-2018,16.1086
07-08-2018,16.0973
06-08-2018,16.1023
03-08-2018,16.0932
02-08-2018,16.1245
01-08-2018,16.0913
31-07-2018,16.0720
30-07-2018,16.0570
27-07-2018,16.0484
26-07-2018,16.0334
25-07-2018,16.0395
24-07-2018,16.0289
23-07-2018,16.0362
20-07-2018,16.0092
19-07-2018,16.0276
18-07-2018,16.0249
17-07-2018,16.0117
16-07-2018,15.9902
13-07-2018,15.9874
12-07-2018,15.9860
11-07-2018,15.9595
10-07-2018,15.9548
09-07-2018,15.9426
06-07-2018,15.9418
05-07-2018,15.9393
04-07-2018,15.9439
03-07-2018,15.9257
02-07-2018,15.9113
29-06-2018,15.8897
28-06-2018,15.8883
27-06-2018,15.9061
26-06-2018,15.9182
25-06-2018,15.9013
22-06-2018,15.8939
21-06-2018,15.8999
20-06-2018,15.8393
19-06-2018,15.8321
18-06-2018,15.8181
15-06-2018,15.7992
14-06-2018,15.7768
13-06-2018,15.7541
12-06-2018,15.7354
11-06-2018,15.7361
08-06-2018,15.7334
07-06-2018,15.7260
06-06-2018,15.7816
05-06-2018,15.8207
04-06-2018,15.8135
01-06-2018,15.8184
31-05-2018,15.8328
30-05-2018,15.8667
29-05-2018,15.8610
28-05-2018,15.8560
25-05-2018,15.8178
24-05-2018,15.7926
23-05-2018,15.8020
22-05-2018,15.8218
21-05-2018,15.7948
18-05-2018,15.7873
17-05-2018,15.7579
16-05-2018,15.7888
15-05-2018,15.7972
14-05-2018,15.8682
11-05-2018,15.8730
10-05-2018,15.8768
09-05-2018,15.8911
08-05-2018,15.9417
07-05-2018,15.9334
04-05-2018,15.8952
03-05-2018,15.8862
02-05-2018,15.8789
27-04-2018,15.8595
26-04-2018,15.8514
25-04-2018,15.8737
24-04-2018,15.8901
23-04-2018,15.8876
20-04-2018,15.9050
19-04-2018,15.9609
18-04-2018,16.0288
17-04-2018,16.0462
16-04-2018,16.0491
13-04-2018,16.0400
12-04-2018,16.0596
11-04-2018,16.0459
10-04-2018,16.1074
09-04-2018,16.1760
06-04-2018,16.1785
05-04-2018,16.1803
04-04-2018,16.1173
03-04-2018,16.1074
31-03-2018,16.0665
28-03-2018,16.0680
27-03-2018,16.0365
26-03-2018,15.9028
23-03-2018,15.8835
22-03-2018,15.8714
21-03-2018,15.8604
20-03-2018,15.8537
19-03-2018,15.8585
16-03-2018,15.8491
15-03-2018,15.8156
14-03-2018,15.8044
13-03-2018,15.7959
12-03-2018,15.7865
09-03-2018,15.7530
08-03-2018,15.7569
07-03-2018,15.7487
06-03-2018,15.7172
05-03-2018,15.7269
01-03-2018,15.7064
28-02-2018,15.7247
27-02-2018,15.7296
26-02-2018,15.7561
23-02-2018,15.8011
22-02-2018,15.7859
21-02-2018,15.8254
20-02-2018,15.8377
16-02-2018,15.8673
15-02-2018,15.8747
14-02-2018,15.8992
12-02-2018,15.8969
09-02-2018,15.8852
08-02-2018,15.8872
07-02-2018,15.8579
06-02-2018,15.8274
05-02-2018,15.8235
02-02-2018,15.8207
01-02-2018,15.8107
31-01-2018,15.8596
30-01-2018,15.8620
29-01-2018,15.8977
25-01-2018,15.8999
24-01-2018,15.8935
23-01-2018,15.9120
22-01-2018,15.8956
19-01-2018,15.8740
18-01-2018,15.8826
17-01-2018,15.8776
16-01-2018,15.8444
15-01-2018,15.9012
12-01-2018,15.8737
11-01-2018,15.8753
10-01-2018,15.8750
09-01-2018,15.9041
08-01-2018,15.9019
05-01-2018,15.8823
04-01-2018,15.8584
03-01-2018,15.8516
02-01-2018,15.8555
01-01-2018,15.8750
29-12-2017,15.8515
28-12-2017,15.8178
27-12-2017,15.8521
26-12-2017,15.8605
22-12-2017,15.8504
21-12-2017,15.8303
20-12-2017,15.8621
19-12-2017,15.8773
18-12-2017,15.8742
15-12-2017,15.8568
14-12-2017,15.8755
13-12-2017,15.8577
12-12-2017,15.8690
11-12-2017,15.8859
08-12-2017,15.9096
07-12-2017,15.9073
06-12-2017,15.8969
05-12-2017,15.8959
04-12-2017,15.8738
30-11-2017,15.8714
29-11-2017,15.8642
28-11-2017,15.8763
27-11-2017,15.8813
24-11-2017,15.8708
23-11-2017,15.8657
22-11-2017,15.8899
21-11-2017,15.9342
20-11-2017,15.9274
17-11-2017,15.8756
16-11-2017,15.8533
15-11-2017,15.8659
14-11-2017,15.8584
13-11-2017,15.8994
10-11-2017,15.8958
09-11-2017,15.8834
08-11-2017,15.8830
07-11-2017,15.8963
06-11-2017,15.9107
03-11-2017,15.9027
02-11-2017,15.8925
01-11-2017,15.8844
31-10-2017,15.8683
30-10-2017,15.8850
27-10-2017,15.8821
26-10-2017,15.8929
25-10-2017,15.8775
24-10-2017,15.8880
23-10-2017,15.8846
18-10-2017,15.8979
17-10-2017,15.8911
16-10-2017,15.8719
13-10-2017,15.8761
12-10-2017,15.8525
11-10-2017,15.8517
10-10-2017,15.8452
09-10-2017,15.8417
06-10-2017,15.8331
05-10-2017,15.8386
04-10-2017,15.8467
03-10-2017,15.8722
29-09-2017,15.8108
28-09-2017,15.8366
27-09-2017,15.8313
26-09-2017,15.8314
25-09-2017,15.8176
22-09-2017,15.7969
21-09-2017,15.8140
20-09-2017,15.8447
19-09-2017,15.8302
18-09-2017,15.8336
15-09-2017,15.8378
14-09-2017,15.8299
13-09-2017,15.8417
12-09-2017,15.8473
11-09-2017,15.8510
08-09-2017,15.8418
07-09-2017,15.8368
06-09-2017,15.8347
05-09-2017,15.8501
04-09-2017,15.8483
01-09-2017,15.8517
31-08-2017,15.8043
30-08-2017,15.7981
29-08-2017,15.7966
28-08-2017,15.7895
24-08-2017,15.7851
23-08-2017,15.7861
22-08-2017,15.7894
21-08-2017,15.7855
18-08-2017,15.7792
16-08-2017,15.7686
14-08-2017,15.7728
11-08-2017,15.7603
10-08-2017,15.7638
09-08-2017,15.7901
08-08-2017,15.7873
07-08-2017,15.7908
04-08-2017,15.7803
03-08-2017,15.7722
02-08-2017,15.7572
01-08-2017,15.7349
31-07-2017,15.7434
28-07-2017,15.7306
27-07-2017,15.7258
26-07-2017,15.7216
25-07-2017,15.7184
24-07-2017,15.7285
21-07-2017,15.6759
20-07-2017,15.6750
19-07-2017,15.6661
18-07-2017,15.6562
17-07-2017,15.6441
14-07-2017,15.6146
13-07-2017,15.6286
12-07-2017,15.6071
11-07-2017,15.5854
10-07-2017,15.5901
07-07-2017,15.5649
06-07-2017,15.5648
05-07-2017,15.5493
04-07-2017,15.5145
03-07-2017,15.4899
30-06-2017,15.5271
29-06-2017,15.5325
28-06-2017,15.5409
27-06-2017,15.5456
23-06-2017,15.5338
22-06-2017,15.5399
21-06-2017,15.5467
20-06-2017,15.5309
19-06-2017,15.5276
16-06-2017,15.5154
15-06-2017,15.5058
14-06-2017,15.5127
13-06-2017,15.5217
12-06-2017,15.5018
09-06-2017,15.4978
08-06-2017,15.4794
07-06-2017,15.3875
06-06-2017,15.3571
05-06-2017,15.3457
02-06-2017,15.3437
01-06-2017,15.3330
31-05-2017,15.2925
30-05-2017,15.2805
29-05-2017,15.2999
26-05-2017,15.2843
25-05-2017,15.2574
24-05-2017,15.2650
23-05-2017,15.2577
22-05-2017,15.2431
19-05-2017,15.2404
18-05-2017,15.2235
17-05-2017,15.2147
16-05-2017,15.2264
15-05-2017,15.2176
12-05-2017,15.1776
11-05-2017,15.1690
09-05-2017,15.1390
08-05-2017,15.1372
05-05-2017,15.1194
04-05-2017,15.1099
03-05-2017,15.1085
02-05-2017,15.1022
28-04-2017,15.1068
27-04-2017,15.0857
26-04-2017,15.0840
25-04-2017,15.1246
24-04-2017,15.1166
21-04-2017,15.1159
20-04-2017,15.1310
19-04-2017,15.1173
18-04-2017,15.1039
17-04-2017,15.1111
13-04-2017,15.1100
12-04-2017,15.0822
11-04-2017,15.0569
10-04-2017,15.0585
07-04-2017,15.0322
06-04-2017,15.0659
05-04-2017,15.1000
03-04-2017,15.1012
31-03-2017,15.1039
30-03-2017,15.0794
29-03-2017,15.0243
27-03-2017,15.0232
24-03-2017,14.9836
23-03-2017,14.9768
22-03-2017,14.9453
21-03-2017,14.9058
20-03-2017,14.9022
17-03-2017,14.8918
16-03-2017,14.8920
15-03-2017,14.8510
14-03-2017,14.8269
10-03-2017,14.8337
09-03-2017,14.8400
08-03-2017,14.8730
07-03-2017,14.8900
06-03-2017,14.8963
03-03-2017,14.8952
02-03-2017,14.9034
01-03-2017,14.9087
28-02-2017,14.9185
27-02-2017,14.9238
23-02-2017,14.9076
22-02-2017,14.9189
20-02-2017,14.9279
17-02-2017,14.9437
16-02-2017,14.9555
15-02-2017,14.9438
14-02-2017,14.9396
13-02-2017,14.9419
10-02-2017,14.9327
09-02-2017,14.9024
08-02-2017,14.9746
07-02-2017,15.1531
06-02-2017,15.1352
03-02-2017,15.1377
02-02-2017,15.1266
01-02-2017,15.0890
31-01-2017,15.1120
30-01-2017,15.0883
27-01-2017,15.1108
25-01-2017,15.1020
24-01-2017,15.0825
23-01-2017,15.0924
20-01-2017,15.0790
19-01-2017,15.0650
18-01-2017,15.0521
17-01-2017,15.0534
16-01-2017,15.0492
13-01-2017,15.0721
12-01-2017,15.0355
11-01-2017,15.0659
10-01-2017,15.0502
09-01-2017,15.0604
06-01-2017,15.0432
05-01-2017,15.0417
04-01-2017,15.0254
03-01-2017,15.0193
02-01-2017,14.9665
30-12-2016,14.8796
29-12-2016,14.8469
28-12-2016,14.8056
27-12-2016,14.8552
26-12-2016,14.8976
23-12-2016,14.8985
22-12-2016,14.8865
21-12-2016,14.9246
20-12-2016,14.9158
19-12-2016,14.8724
16-12-2016,14.8835
15-12-2016,14.8968
14-12-2016,14.9245
13-12-2016,14.9073
09-12-2016,14.9034
08-12-2016,14.9076
07-12-2016,14.9493
06-12-2016,15.1096
05-12-2016,15.0947
02-12-2016,15.0592
01-12-2016,15.0854
30-11-2016,15.0678
29-11-2016,15.0597
28-11-2016,15.0779
25-11-2016,15.1115
24-11-2016,15.1115
23-11-2016,15.0764
22-11-2016,15.0367
21-11-2016,15.0465
18-11-2016,14.9876
17-11-2016,15.0031
16-11-2016,14.9836
15-11-2016,14.8771
11-11-2016,14.7991
10-11-2016,14.7901
08-11-2016,14.6783
07-11-2016,14.7003
04-11-2016,14.6958
03-11-2016,14.6997
02-11-2016,14.7007
01-11-2016,14.6998
28-10-2016,14.6907
27-10-2016,14.6952
26-10-2016,14.6983
25-10-2016,14.6983
24-10-2016,14.6917
21-10-2016,14.6811
20-10-2016,14.6935
19-10-2016,14.7026
18-10-2016,14.6883
17-10-2016,14.6874
14-10-2016,14.6945
13-10-2016,14.7244
10-10-2016,14.7355
07-10-2016,14.6995
06-10-2016,14.7275
05-10-2016,14.6915
04-10-2016,14.6434
03-10-2016,14.6307
30-09-2016,14.5840
29-09-2016,14.5636
28-09-2016,14.5856
27-09-2016,14.5737
26-09-2016,14.5701
23-09-2016,14.5810
22-09-2016,14.5416
21-09-2016,14.4818
20-09-2016,14.5052
19-09-2016,14.4940
16-09-2016,14.4827
15-09-2016,14.4879
14-09-2016,14.4586
12-09-2016,14.4784
09-09-2016,14.4739
08-09-2016,14.4381
07-09-2016,14.4530
06-09-2016,14.4242
02-09-2016,14.4023
01-09-2016,14.3949
31-08-2016,14.3873
30-08-2016,14.3829
29-08-2016,14.3590
26-08-2016,14.3517
25-08-2016,14.3306
24-08-2016,14.3007
23-08-2016,14.3091
22-08-2016,14.3085
19-08-2016,14.3127
18-08-2016,14.3072
16-08-2016,14.3276
12-08-2016,14.3250
11-08-2016,14.2956
10-08-2016,14.2950
09-08-2016,14.2522
08-08-2016,14.2035
05-08-2016,14.2003
04-08-2016,14.1838
03-08-2016,14.1695
02-08-2016,14.1915
01-08-2016,14.1912
29-07-2016,14.1621
28-07-2016,14.1389
27-07-2016,14.0951
26-07-2016,14.0869
25-07-2016,14.0735
22-07-2016,14.0650
21-07-2016,14.0516
20-07-2016,14.0413
19-07-2016,14.0280
18-07-2016,14.0137
15-07-2016,14.0025
14-07-2016,13.9904
13-07-2016,13.9617
12-07-2016,13.9483
11-07-2016,13.9287
08-07-2016,13.9109
07-07-2016,13.9068
05-07-2016,13.8803
04-07-2016,13.8613
01-07-2016,13.8514
30-06-2016,13.8312
29-06-2016,13.8103
28-06-2016,13.8050
27-06-2016,13.7931
24-06-2016,13.7816
23-06-2016,13.7790
22-06-2016,13.7782
21-06-2016,13.7731
20-06-2016,13.7644
17-06-2016,13.7592
16-06-2016,13.7615
15-06-2016,13.7575
14-06-2016,13.7682
13-06-2016,13.7683
10-06-2016,13.7635
09-06-2016,13.7587
08-06-2016,13.7320
07-06-2016,13.7415
06-06-2016,13.7421
03-06-2016,13.7268
02-06-2016,13.7273
01-06-2016,13.7295
31-05-2016,13.7266
30-05-2016,13.7235
27-05-2016,13.7221
26-05-2016,13.7170
25-05-2016,13.7051
24-05-2016,13.7093
23-05-2016,13.7112
20-05-2016,13.6998
19-05-2016,13.6967
18-05-2016,13.7021
17-05-2016,13.7014
16-05-2016,13.6971
13-05-2016,13.6913
12-05-2016,13.6941
11-05-2016,13.6878
10-05-2016,13.6863
09-05-2016,13.6720
06-05-2016,13.6810
05-05-2016,13.6722
04-05-2016,13.6771
03-05-2016,13.6754
02-05-2016,13.6668
29-04-2016,13.6572
28-04-2016,13.6564
27-04-2016,13.6557
26-04-2016,13.6491
25-04-2016,13.6517
22-04-2016,13.6452
21-04-2016,13.6450
20-04-2016,13.6541
18-04-2016,13.6573
13-04-2016,13.6356
12-04-2016,13.6424
11-04-2016,13.6171
07-04-2016,13.5943
06-04-2016,13.5889
05-04-2016,13.5891
04-04-2016,13.5316
31-03-2016,13.4613
30-03-2016,13.4507
29-03-2016,13.4500
28-03-2016,13.4440
23-03-2016,13.4395
22-03-2016,13.4400
21-03-2016,13.3945
18-03-2016,13.3794
17-03-2016,13.3344
16-03-2016,13.3149
15-03-2016,13.2982
14-03-2016,13.2731
11-03-2016,13.2681
10-03-2016,13.2564
09-03-2016,13.2537
08-03-2016,13.2468
04-03-2016,13.2043
03-03-2016,13.2074
02-03-2016,13.2019
01-03-2016,13.1788
29-02-2016,13.1636
26-02-2016,13.1222
25-02-2016,13.1092
24-02-2016,13.1401
23-02-2016,13.1334
22-02-2016,13.1653
18-02-2016,13.1692
17-02-2016,13.1612
16-02-2016,13.1823
15-02-2016,13.1786
12-02-2016,13.1812
11-02-2016,13.1771
10-02-2016,13.1772
09-02-2016,13.1765
08-02-2016,13.1768
05-02-2016,13.1670
04-02-2016,13.1646
03-02-2016,13.1770
02-02-2016,13.2035
01-02-2016,13.2237
29-01-2016,13.2362
28-01-2016,13.2339
27-01-2016,13.2007
25-01-2016,13.2225
22-01-2016,13.2132
21-01-2016,13.1965
20-01-2016,13.1886
19-01-2016,13.1840
18-01-2016,13.1750
15-01-2016,13.1824
14-01-2016,13.1770
13-01-2016,13.1959
12-01-2016,13.1926
11-01-2016,13.2108
08-01-2016,13.1985
07-01-2016,13.1888
06-01-2016,13.1810
05-01-2016,13.1796
04-01-2016,13.1689
01-01-2016,13.1473
31-12-2015,13.1290
30-12-2015,13.1328
29-12-2015,13.1356
28-12-2015,13.1112
23-12-2015,13.0924
22-12-2015,13.1030
21-12-2015,13.1186
18-12-2015,13.1082
17-12-2015,13.1073
16-12-2015,13.0893
15-12-2015,13.0823
14-12-2015,13.1049
11-12-2015,13.0982
10-12-2015,13.1025
09-12-2015,13.0783
08-12-2015,13.1139
07-12-2015,13.1215
04-12-2015,13.1221
03-12-2015,13.1491
02-12-2015,13.1231
01-12-2015,13.1105
30-11-2015,13.1030
27-11-2015,13.1114
26-11-2015,13.1145
24-11-2015,13.1219
23-11-2015,13.1117
20-11-2015,13.1143
19-11-2015,13.1171
18-11-2015,13.1094
17-11-2015,13.1130
16-11-2015,13.0898
13-11-2015,13.1055
10-11-2015,13.0856
09-11-2015,13.0770
06-11-2015,13.0947
05-11-2015,13.1009
04-11-2015,13.1043
03-11-2015,13.1065
02-11-2015,13.1112
30-10-2015,13.0795
29-10-2015,13.0803
28-10-2015,13.1051
27-10-2015,13.0979
26-10-2015,13.1029
23-10-2015,13.0779
21-10-2015,13.0739
20-10-2015,13.0681
19-10-2015,13.0714
16-10-2015,13.0522
15-10-2015,13.0263
14-10-2015,13.0295
13-10-2015,13.0287
12-10-2015,13.0314
09-10-2015,13.0267
08-10-2015,13.0133
07-10-2015,13.0090
06-10-2015,12.9867
05-10-2015,13.0006
01-10-2015,12.9761
30-09-2015,12.9652
29-09-2015,12.9308
28-09-2015,12.8591
24-09-2015,12.8483
23-09-2015,12.8390
22-09-2015,12.8334
21-09-2015,12.8321
18-09-2015,12.8215
16-09-2015,12.7989
15-09-2015,12.8069
14-09-2015,12.7976
11-09-2015,12.7816
10-09-2015,12.7784
09-09-2015,12.7973
08-09-2015,12.7806
07-09-2015,12.7801
04-09-2015,12.7878
03-09-2015,12.7908
02-09-2015,12.8189
01-09-2015,12.8084
31-08-2015,12.7982
28-08-2015,12.7984
27-08-2015,12.7895
26-08-2015,12.7597
25-08-2015,12.7568
24-08-2015,12.7322
21-08-2015,12.7461
20-08-2015,12.7435
19-08-2015,12.7059
17-08-2015,12.7389
14-08-2015,12.7191
13-08-2015,12.7133
12-08-2015,12.7012
11-08-2015,12.6855
10-08-2015,12.6880
07-08-2015,12.6796
06-08-2015,12.6696
05-08-2015,12.6622
04-08-2015,12.6623
03-08-2015,12.6586
31-07-2015,12.6517
30-07-2015,12.6376
29-07-2015,12.6364
28-07-2015,12.6210
